,公司名称,公司规模,城市,学历要求,工作经验,职位名称,职位描述,职位薪资
20,火花思维,500-999人,北京,本科,3-5年,商业数据分析师,【岗位职责】1. 熟练掌握行业和公司业务模型，了解业务数据结构；2. 搭建数据分析平台，制定数据定义及统计规则，确保数据的正确性和完整性，监控数据质量并及时纠正错误数据；3. 分析营销运营数据，输出日报、周报、月报等数据报表，满足业务部门的日常数据需求；4. 分析核心指标的变动原因，定位问题，为业务部门提供分析支持决策；5. 结合行业数据、业界观点和市场趋势，为业务发展方向提供战略层面的意见和建议。【任职条件】1. 咨询公司或大型互联网公司3年以上工作经验，有在线教育行业经验者优先；2. 本科学历以上，良好的数据敏感度，有丰富的数据挖掘，信息采集整理，分析能力；3. 熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题；4. 精通Excel和常用的数据分析及报表开发工具，熟悉SQL及BI整体方案；5. 有数据分析团队管理经验者优先，对数据挖掘结果有独立分析经验者优先。,15k-30k
21,学科网,500-999人,北京,硕士,3-5年,高级数据分析师,工作职责：1、负责学科网BI产品的设计和开发工作。2、负责学科网海量数据挖掘和数据分析，建立业务分析模型和报表呈现。3、基于大规模用户行为，建立并优化推荐系统的基础算法和策略。职位要求：1、硕士及以上学历， 计算机，数学，统计学情报学，图书管理学等相关专业，3年以上相关工作经验。2、 熟悉SQL语句，在数据结构，算法方面有扎实的基本功。3、 熟悉Linux开发环境，有Shell或者Python等脚本的编程经验。4、有推荐算法，搜索rank方面工作经验者优先。5、 有文本分析，数据挖掘，机器学习方面工作经验者优先。,25k-50k
22,北京异乡好居,100-499人,北京,本科,1-3年,数据分析师,工作职责：1. 对公司所有相关数据，挖掘分析主题，开展数据分析工作，基于数据分析成果，为个相关部门提供策略分析和业务优化建议，持续改进运营效果；2. 优化和完善所属方向的数据分析体系，包括报表体系、专题分析体系；3. 参与数据分析呈现设计，核心指标挖掘；4. 参与数据仓库和数据仓库的建设；任职资格：1. 熟练使用SQL，熟悉至少一种数据库软件，如：mysql、sqlserver等，熟悉hadoop或者spark者优先，熟悉掌握Python优先；2. 数学、计算机、统计、经济、金融等相关专业本科以上学历，硕士学历优先；3. 对数据敏感，喜欢并善于从数据中发现规律，有机器学习，建模等方面经验者优先；5. 1-3年数据分析相关经验；,18k-27k
23,有利网,10000人以上,北京,本科,1-3年,数据分析,职位描述： 1、结合公司现状和行业特点，进行行业分析调研；2、搭建、优化CRM部门数据报告体系和分析平台；3、负责CRM部门数据分析，对产品和相关服务的数据进行提取、分析、展示、总结，搭建数据分析体系，多维度进行数据分析输出报告；4、负责整改建议的落实，并对落实情况进行跟踪；5、梳理并优化现有数据分析的内容、流程和机制，不断提升数据质量，挖掘数据价值；5、完成领导交办的其他工作的督办、协调及落实任务；任职要求： 1、2年以上相关工作经验，本科以上学历，统计、金融、保险专业优先； 2、具备数据处理和分析能力，精通数据分析工具excel，熟悉spss、powerbi等； 3、逻辑思维强，工作效率高，对数据敏感，极强的保密意识和良好的职业道德，思维敏捷，善于沟通；4、具备保险行业、汽车行业相关部门两年以上工作经验（优先考虑）；,10k-17k
24,居理新房,1000-9999人,北京,本科,经验不限,数据分析师,居理新房（原侃家网）作为国内首家数据驱动的新房直卖专业平台，核心业务是向买房人提供全流程免费的高品质新房咨询服务。自2014年成立以来，先后受到了源码资本、K2险峰华兴等投资机构的青睐，目前，也是业内首家完成B轮融资的新房直卖平台公司。两年来，公司已经形成了数据和人才的双重竞争壁垒，并积累了领先行业两年的新房大数据营销系统。在新房领域的这片蓝海里，居理期待和你一起见证优秀，成就彼此。工作地点：东城区朝阳门银河SOHO  （2号线朝阳门地铁站下车G口出站即到）岗位职责：1、有较强的数据分析基础，熟悉SQL等数据库使用；2、有较强数据清洗能力，能基于业务实际作出分析，逻辑清晰；3、能结合数据分析结果进行业务部门行为指导，并推动目标业务达成；4、有项目管理、城市运营经验者优先考虑；5、有数据可视化处理经验（掌握如python等）优先考虑；任职条件：1.统招本科以上学历，经验不限；2.对数据敏感，有志于从事数据分析相关岗位；3.沟通表达较好，有跨部门沟通和项目推动能力4.不安于现状，希望寻求更好的发展岗位晋升路径：1.专业路线晋升，职级及相应薪资提升2.管理路线晋升，部门主管-部门经理3.城市运营经理：条件优秀的到居理各城市分公司担任运营经理,7k-10k
25,有利网,10000人以上,北京,本科,1-3年,BI数据分析师,"工作职责：1.	基于对产品和业务深入理解的基础上，独立承担数据运营分析工作，为业务和产品提供数据决策和策略支持，分析方向包括但不限于行业分析、竞对动态、用户运营分析、活动运营分析、市场运营效果、经营分析、收益管理等；2.	参与数据分析呈现设计，核心指标挖掘，完成集团运营、市场、产品、财务等数据指标开发；3.	根据产品需求，通过对数据仓库中的抽取和转化完成运营类型的数据产品的开发，并进行业务层面的应用；4.	负责业务的数据工作，包括业务指标管理、元数据维护、数据监控、需求对接、数据提取、协调ETL团队完成中间表建设、日常数据报表产出等5.	完成数据仓库的建设和基于数据仓库的报表开发；6.	负责根据项目要求和现有平台情况制定合理的架构和实现方式；岗位要求：1.	数学、计算机、统计、经济、金融等相关专业本科以上学历2.	3年以上BI及数据仓库架构经验，具有业务建模能力；3.	练使用SQL，熟悉至少一种数据库软件，如：mysql、greenplum等,能够在Linux环境下进行开发；4.	熟悉BI系统报表开发的常用方法及框架，了解一般的数据可视化方法；5.	熟悉BI系统的权限设置方法；6.	熟练使用常用的MVC、ORM框架；7.	熟悉HTML/CSS/Javascript等前端技术优先；8.	熟练编写脚本语言base/python/perl相关经验者优先;9.	有PowerBI、Tableau、Superset、echart开发使用经验的优先。10.	具备优秀的业务理解能力，对数字敏感，有较强逻辑分析能力。",15k-30k
26,赢销通,500-999人,北京,本科,5-10年,商业数据分析,经营分析 高级经理/经理业务驱动职责描述：-       参根据公司业务需求，利用数据挖掘等工具对多种数据源进行诊断分析，建立相关业务方向的数据指标体系、评估模型并推动其优化，为公司运营决策、业务拓展等方面提供数据支持-       负责对应项目或业务部门的数据分析、数据追踪和例行分析，及时发现数据的异常波动，并通过深入分析了解其原因，定期输出相关数据分析报告-       整理编写商业数据分析报告，及时发现和分析其中变化和问题-       梳理业务团队的业务需求，制定数据报表-       带领小组突破进取需求驱动方向职责描述：-       根据公司产品和业务需求，利用数据挖掘等工具对多种数据源进行诊断分析，建立分析模型并优化，为运营决策、产品设计、营销方案等方面提供需求驱动支持-       负责对用户行为数据进行处理、挖掘、制作数据报表，撰写数据分析报告。通过数据分析挖掘，分析功能使用场景、用户行为特征，发现潜在的缺陷与机会，为产品、运营的优化提供数据支持和参考-       根据需求进行流量分析，转化率分析、多维事件分析、漏斗分析、热门商品分析等专项分析，并输出分析报告。开展竞品分析及行业分析-       能够协助进行数据平台分析工具的部署和优化-       梳理业务团队的业务需求，制定数据报表 岗位要求： -       本科及以上学历（985/211学校优先），数学、统计学、计算机、金融、经济等相关专业；5年以上互联网行业经验，3年以上数据分析相关工作经验，2年团队管理经验；有电商、零售、调研、快速消费品等行业分析经验优先-       精通Excel、熟悉使用PPT，统计基础知识扎实；熟悉SQL（工作环境中使用），有BI系统经验者优先-       善于应用分析方法论和建立数据体系，定量分析能力强，拥有敏锐的洞察，具有较强的策略思维和市场分析能力，逻辑性强-       有严谨客观的分析态度；很强的学习能力；具备较强的责任心和执行能力，具强烈的目标完成意识。-       为人正直，亲和力强，很强的独立工作能力，同时擅于沟通协作和团队合作 高级分析师职责描述：-       协助搭建经营分析框架及指标体系，主动根据业务发展持续优化-       建设并优化常规经营报表（日/周/月报），分析解读异常原因及解决建议-       监测日常经营数据，从中发现问题；通过分析为业务运营决策、产品方向、销售策略提供数据支持；推动落地实施，评估策略效果，提出优化方向-       赋能业务团队快速获得数据，有效促进业务增长 岗位要求： -       本科及以上学历；1年以上互联网数据分析相关工作经验-       精通Excel、熟悉使用PPT，统计基础知识扎实；熟悉SQL（工作环境中使用），有BI系统经验者优先对商业和业务逻辑敏感，有良好的逻辑分析和系统思考能力，良好的团队协作和沟通能力,20k-35k
27,火花思维,500-999人,北京,本科,3-5年,商业数据分析师,【岗位职责】1. 熟练掌握行业和公司业务模型，了解业务数据结构；2. 搭建数据分析平台，制定数据定义及统计规则，确保数据的正确性和完整性，监控数据质量并及时纠正错误数据；3. 分析营销运营数据，输出日报、周报、月报等数据报表，满足业务部门的日常数据需求；4. 分析核心指标的变动原因，定位问题，为业务部门提供分析支持决策；5. 结合行业数据、业界观点和市场趋势，为业务发展方向提供战略层面的意见和建议。【任职条件】1. 咨询公司或大型互联网公司3年以上工作经验，有在线教育行业经验者优先；2. 本科学历以上，良好的数据敏感度，有丰富的数据挖掘，信息采集整理，分析能力；3. 熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题；4. 精通Excel和常用的数据分析及报表开发工具，熟悉SQL及BI整体方案；5. 有数据分析团队管理经验者优先，对数据挖掘结果有独立分析经验者优先。,15k-30k
28,洋帆,100-499人,北京,本科,经验不限,商业数据分析师,扬帆耗材（集团）有限公司是做打印机耗材及打印机方面，已在打印行业内经营二十年，同时拥有自有品牌和生产基地，线下线上都有在做。线上是京东天猫平台有多家店铺和旗舰店。线下是做传统渠道批发和政府、企事业单位等用户，同时是北京市电商、上海电商、河北电商、浙经电商等多地政府的合作伙伴。外地有六家分公司，沈阳、哈尔滨、南京、西安、成都、重庆都有自己的库房和直营店。企业官网为www.yafo.com.cn。岗位职责：1、利用定量分析、数据管理、数据可视化、预测建模、数据挖掘等技术将数据转变为潜在商机，并通过数据呈现来优化企业的商业决策。2、深入了解公司产品和业务，搭建业务指标体系；3、规划市场活动方案，监控活动效果和策略分析；4、竞品价格分析，产品定价，平台定价；5、搭建客户信用监控体系；6、数据驱动供应链体系优化。7、执行采购计划，确保各项采购指标的落实与完成；8、负责收集整理行业市场行情、供应商资料，及时进行汇总分析，为领导决策提供参考；9、积极配合各部门的工作安排，完成领导交代的其他工作。岗位要求：1、统招本科及以上学历；应用数学、统计学、运筹学、物理等相关专业；2、深刻理解并熟练掌握统计学、常用的数据分析方法；3、具备利用数据分析挖掘，解决业务问题的能力；4、关注细节，对数字敏感，具有良好的逻辑分析能力；5、对商业和业务逻辑敏感，能从数据中发现商业价值，具备分析、总结、表达能力；6、熟练使用Excel，PPT等工具。薪酬福利：1.薪资5000-12000；2.试用期1个月，表现优秀者可提前转正；3.提供住宿，五险；4.双休，享受国家法定的节假日，春节长假十三天；5.本科生可以办理工作居住证。工作地址：北京市海淀区上地创业中路36号海淀留学人员创业园2层洋帆（地铁13号线上地站）,5k-10k
29,闪银奇异,500-999人,北京,本科,3-5年,BI数据分析师（中级）,岗位名称：BI数据分析师（中级）岗位职责：1. 负责渠道投放、成本收益、产品运营状况等主题的多维度指标计算，输出日常报表，支持部门的BI产品规划2. 辅助产品经理建立BI大数据平台，建立指标库，协助工程师开发数据质量监测程序3. 对交易数据、埋点数据、授信数据进行分析和挖掘，建立数据模型，通过数据挖掘对产品形成策略支持岗位要求：1. 熟练使用SQL，熟练使用Python\R，熟悉MYSQL和HIVE，掌握通用的统计和挖掘算法2. 对数据敏感，有独立的分析思路和观点，并能够在海量数据中找到数据支持3. 统计学、数学、计算机、金融等相关专业，本科及以上学历，清北985优先,15k-30k
30,The ONE,100-499人,北京,本科,3-5年,BI数据分析经理,岗位职责：1. 负责the one在线业务数据产品的整体规划、设计与产品全生命周期管理；2. 对系统数据进行整合梳理，指定过滤及筛选策略，分析数据在关联性，挖掘数据内在价值，3. 基于数据资源，配合业务需求，给予数据支持，如：用户画像、业务效率等等；4. 完善内部数据平台，提升平台的功能性及易用性职位要求：1. 本科及以上学历，应用数学、计算机软件、数据统计等相关专业优先考虑2. 3年以上互联网公司数据工作经验， 有教育行业经验的优先考虑3. 具备一项或多项数据分析技能：基本的统计与数学知识， 扎实的EXCEL能力，R，SPSS等一种统计工具；4. 熟悉产品业务流程，具备出色的需求分析能力及执行力；5. 需具备良好的数据敏感度，能够敏锐的捕获数据的价值，并具前瞻性的进行规划和创新，产出对业务有价值的数据产品,30k-40k
31,亚信科技,10000人以上,北京,本科,3-5年,BI数据分析师,岗位职责：1、 熟悉产品运营业务需求、业务逻辑，梳理产品运营各项指标；2 、对产品运营指标数据形成日、周、月、年等维度数据报表；3 、负责产品的数据分析，监控日常产品运营状态，发现运营异常，分析原因并提出优化方案。   任职要求：1、本科及以上学历，计算机相关专业；2、从事BI大数据分析工作1年以上经验； 3、熟悉SQL语句，有Hive、greenplum使用经验，会使用Tableau报表工具等。,10k-20k
32,北京康尔健野,100-499人,北京,本科,3-5年,商业数据分析,岗位职责：(一)部门管理体系建设							负责建立部门业务流程及管理制度，制定并修订商品管理执行办法，建立部门绩效考核体系，监督并执行；							(二)商品价格管控							1.商品定价调价管理，依据产品成本及市场对标竞品价格，制定符合公司品牌策略的零售指导价；2.商品零售价执行监督检查及违规处置管理；3.根据市场销售反馈，做商品A\B\C价格分析，提出货品结构优化建议、营促销指导价建议、调整零售指导价清单；(三)销量滚动预测							1.建立商品销量滚动预测最佳实践模型及预测分析关键指标，指导数据分析岗做统计分析模板公式；	2.结合行业销售数据及公司商品历史销售数据制定商品销售、库存指标阈值；3.根据预测指标数据做商品销售情况分析报告（周/月/季/年）；							(四)与销售互动确定供货需求							1.根据销量滚动预测分析与销售沟通确认SKU补货需求；							2.制定补货计划；(五)生产计划与出运计划管理							1.供货点、供货批量确定及采购计划管理；							2.货品生产交付计划与出运计划管理	；(六)滞销品促销驱动，保证库存周转率							1.根据亚马逊FBA库存规则或其他合作海外仓库存规则，做出库存计划和控制，持续库存动态数量管理；		2.测算最佳库存周期、库存与商品货值盈亏平衡点，发出库存风险预警，推动库存周转	；	(七)货品调拨计划管理1.根据补货需求，各库存量及销量预测，制定合理库存调拨计划；							2.库存调拨经济模型测算；3.库存调拨计划执行管理；任职资格							1、统招本科及以上学历，管理类、计算机、统计学等相关专业毕业。熟练使用EXCEL的中高级函数操作（如VLOOKUP、透视表等）、PPT等办公软件；	2、3-5年工作经验，具备管理经验，具备两年以上零售行业经验、电商运营经验、商品管理岗位相关经验等优先考虑；					3、具备商品管理、库存管理及动销预测方面的经验，熟悉或者掌握业界销售与运作计划先进模式者优先。精通服装企业、零售业的商品销售管理，对数据分析、库存分析有实战经验；4、对数据有良好的分析判断能力和清晰的逻辑思维能力，能够运用相关工具进行数据分析和解读，并转化成商品管理策略提出具体落地方案。拥有项目管理经验，形成流程化、规范化的工作方式，能协调各方资源快速推动落地；	5、熟悉进销存系统，且有过参与ERP系统规划、设置、上线的工作经历者优先考虑；6、逻辑能力强，良好的规划执行能力，较强的沟通、协调能力，有高度的责任心，可以承受高强度的工作压力；				7、具有很强的团队管理能力，能够不断的提升团队成员的战斗能力，指引团队成员完成供应链中心的工作目标；							8、认同公司企业文化，能够带领下属共同完成公司战略目标；							9、有电商公司商品运营数据分析经验者优先录用；10、商品运营大数据分析岗位经验者优先录用。,10k-15k
33,天玛时,100-499人,北京,本科,5-10年,商业数据分析,工作内容:各店铺及公司服装服饰产品进销存数据分析，货品分发、补货单制定，店铺间调拨，根据销售数据分析给企划部门合理的建议，库存消化方案制定，盘点数据审核等职位要求:工作认真严谨，性格开朗，思维敏捷，须有服装公司工作经验，精通电脑表格。,6k-10k
34,索信达,100-499人,北京,本科,3-5年,数据分析挖掘工程师,"岗位职责：1. 负责IT项目的需求调研、数据分析、商业分析及数据挖掘建模等工作；2. 根据业务需求，制定用户相关数据的采集策略，设计、建立、测试相关的数据模型，从而实现从数据中提取决策价值，撰写分析报告；并跟踪分析客户业务数据，为客户提供决策支持；3. 研究数据挖掘模型，参与数据挖掘模型的构建、维护、部署和评估工作；4. 完成需求分析、样本抽样、模型构建、指标定义以及相关文档编写；5. 配合售前工作或产品研发团队将分析结果落地实施。 任职要求：1. 数学、统计学本科及以上学历，硕士学历优先考虑；2. 3年以上互联网、金融行业数据分析、数据挖掘工作经验；3. 熟悉决策树、时间序列模型、回归分析模型、聚类挖掘、贝叶斯、关联规则挖掘等数据统计模型和挖掘技术，并有独立完整的建模实践经验；4. 具备大数据的处理能力，熟悉SAS、sql语句编写，熟练操作SAS EM工具；5. 有大数据并行处理经验，能使用Hadoop/Hive分析海量数据；能高效的与技术团队进行沟通；6. 良好的数据敏感度,能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验；7. 对数据驱动业务有深入理解，对数据与业务方面有足够敏感性，有较强的逻辑分析能力，有较强的独立思考能力；8. 熟练使用各种办公软件，如excel 、ppt等，能独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题，具备良好的商业敏感度和创新意识，快速识别商业问题和机会。",14k-28k
35,怡和科技,1000-9999人,北京,本科,3-5年,BI数据分析师,"岗位职责：1、	负责帮客户开发大数据、BI报表和可视化项目，整合CRM、SAP、ERP、WiFi、物联网等数据源，开发报表、Tableau仪表盘和数据挖掘；2、	帮助客户设计不同的指标和报表，来实现业务、库存、生产、用户等数字化运营和考核。有针对性地提出如何用数据仓库和BI帮助客户解决实际问题的方案；3、	和客户深度沟通，理解客户的业务挑战，落实到每个指标的来源、处理和呈现，提供有洞察力的报表和仪表盘。4、	开发出真正能帮助客户解决实际问题的报表。面对数据缺失、质量缺陷、计算逻辑不明等情况下，主动向客户求助，共同想办法解决，积极推动项目前进。任职资格：1、有一定的数据分析基础，优先考虑有Tableau, PowerBI，Qlikview、eView等经验的人；2、掌握一或几种编程语言： SQL,Python, R, Java等3、以下专业： 统计、数学、物理、经济学、计算机、自控、电子、通信、交通；4、喜欢咨询事业，能接受15-25%的出差。",12k-18k
